Time(sec)	Motor[9].ActPos	Motor[9].DesPos	Motor[9].iqcmd	Time(sec)	Motor[9] Act Position	Motor[9] Cmd Position	Motor[9] Act Velocity	Motor[9] Cmd Velocity	Motor[9] Act Acceleration	Motor[9] Cmd Acceleration	Motor[9] Following Error	Motor[9] Servo Cmd Out	
823658688 	300000.004246648 	300000 	24.545424 	823658688 	300000.004246648 	300000 	0.709534215275198 	0 	-473.022810183465 	0 	-0.00424664840102196 	24.545424 	
823658698 	300000.004719671 	300000 	24.109388 	823658698 	300000.004719671 	300000 	0.289917225018144 	0 	-366.211170330644 	0 	-0.00471967121120542 	24.109388 	
823658708 	300000.004826483 	300000 	24.278698 	823658708 	300000.004826483 	300000 	-0.0839233980514109 	0 	-381.470075808465 	0 	-0.00482648285105824 	24.278698 	
823658718 	300000.004551824 	300000 	24.982384 	823658718 	300000.004551824 	300000 	-0.427246413892135 	0 	-305.176014080644 	0 	-0.0045518244151026 	24.982384 	
823658728 	300000.00397199 	300000 	24.911606 	823658728 	300000.00397199 	300000 	-0.694275426212698 	0 	-228.882068768144 	0 	-0.00397199002327397 	24.911606 	
823658738 	300000.003163274 	300000 	24.816488 	823658738 	300000.003163274 	300000 	-0.808716402389109 	0 	0.000116415321826935 	0 	-0.0031632735626772 	24.816488 	
823658748 	300000.002354557 	300000 	25.185604 	823658748 	300000.002354557 	300000 	-0.480652175610885 	0 	656.128278933465 	0 	-0.00235455721849576 	25.185604 	
823658758 	300000.002201969 	300000 	25.045551 	823658758 	300000.002201969 	300000 	0.213623192394152 	0 	732.422457076609 	0 	-0.00220196921145543 	25.045551 	
823658768 	300000.002781804 	300000 	24.070745 	823658768 	300000.002781804 	300000 	0.755310611566529 	0 	350.952381268144 	0 	-0.00278180360328406 	24.070745 	
823658778 	300000.00371259 	300000 	23.782267 	823658778 	300000.00371259 	300000 	0.85449279868044 	0 	-152.588123455644 	0 	-0.00371259043458849 	23.782267 	
823658788 	300000.004490789 	300000 	24.279631 	823658788 	300000.004490789 	300000 	0.411987595725805 	0 	-732.422340661287 	0 	-0.00449078920064494 	24.279631 	
823658798 	300000.004536566 	300000 	24.310171 	823658798 	300000.004536566 	300000 	-0.205993797862902 	0 	-503.540504723787 	0 	-0.0045365656260401 	24.310171 	
